title,company,location,category,seniority,description,date_posted,url
Smart Contract Engineer,Joy Network,United States,software engineering,,"Overall ResponsibilitiesDeploy smart contracts for core Plume features like RWA tokenization, KYC attestations, and account abstractionWork with product engineers to integrate smart contract functions into core Plume apps like our end-to-end onboarding platformDesign and implement the smart contract, indexing, and offchain architecture to support a robust incentivized testnet campaignBuild the next-generation of smart contracts and standards for tokenized capital markets Within 1 month, you should expect to…Onboard to the team and learn our existing codeLearn our roadmap, QA, and shipping cadence, and how we prioritize our core product areasSupport companies deploying on Plume with smart contract issues and feature requestsDesign smart contracts for core Plume features and the incentivized testnet campaign Within 3 months, you should expect to…Prepare code for auditors and iterate on preliminary audit reportsBrainstorm novel dApps to build for Plume mainnet and propose how they should workMentor and give guidance to junior smart contract engineersInterview prospective engineering hires Qualifications3+ years of experience in software engineering at a reputable startup or a large tech company1+ years of experience in smart contract development, with at least one live deployed project on a mainnet EVM chainBe based out of Canada or the USCandidates without a Bachelor’s degree in a computer science / engineering-related field must have an exceptional work history Compensation & Package Salary ranges competitive with top startupsAs an early employee, you will receive a standard engineering equity grantFully remote with the option to come into the NYC office any timeMinimal meetings, no product managers, one roadmapFull medical, dental, and vision benefitsTwo all-expenses-paid offsites per year ENG, IT",2024-04-09,https://www.linkedin.com/jobs/view/3886460362/?trk=jobs_biz_prem_srch
Project Manager,Just Whole Care,Los Angeles Metropolitan Area,data engineering,,"Do you thrive in a fast-paced, strategy-focused environment helping healthcare and public health projects run smoothly? Are you passionate about improving health equity through cross-sector collaboration, strategic planning, business growth, tech or big data? If so, Just Whole Care’s new Project Manager role might be perfect for you! About usJust Whole Care is a strategy firm based in Los Angeles that specializes in growing seamless, equitable, trauma-informed healthcare. We're passionate about solving complex challenges in care and system integration, health tech, workforce, finance reform, and business growth to advance the impact and revenue of great organizations. Role DescriptionThis is a contract role for a Project Manager at Just Whole Care. In this role, you will be responsible for ensuring all healthcare and public health projects from start to finish are delivered on time, within budget, and in accordance with appropriate regulations. You will work closely with our Principal and CEO, as well as cross-functional teams internal and external, including healthcare and public health executives, management, providers, health plans, policymakers, digital-care leaders, and others to plan, execute, and monitor projects. This is a hybrid role, with the Project Manager expected to be located in the Los Angeles Metropolitan Area but with flexibility for some remote work. Key responsibilities you will have: Develop comprehensive project plans, including timelines, budgets, and resource allocation.Manage project scope, ensuring all deliverables are met.Track project progress and identify and mitigate risks.Facilitate communication between all stakeholders involved in the project.Liaise with partners and clients to identify and define requirements, scope and objectivesEnsure projects adhere to healthcare industry regulations and standards (e.g., HIPAA or FERPA compliance).Manage project budgets and secure necessary resources.Prepare and deliver project reports to stakeholders.Identify and implement process improvements to enhance efficiency.Experience in project management and expediting To be successful in this role, you will need: A bachelor's degree in healthcare administration, project management, policy or a related field (MBA, MPH, or MPP preferred).A minimum of 3-5 years of experience managing healthcare or public health projects from conception to delivery.Proven experience in developing and managing project plans, budgets, and timelines, including the ability to prepare and interpret flowcharts, schedules and step-by-step action plans.Excellent communication, interpersonal, teamwork, and leadership skills.Attention to detail with excellent problem-solving and analytical skills.Strong understanding of healthcare regulations and compliance requirements.Solid organizational skills, including multitasking and time-management, with the ability to work independently and as part of a cross-functional team.Proficiency in Microsoft Office and project management software.Experience with project management methodologies (e.g., PMP, Agile) a plus. IT, PRJM",2024-04-09,https://www.linkedin.com/jobs/view/3886822730/?trk=jobs_biz_prem_srch
Legal AI Tutor (JD Required),Mercor,United States,machine learning,,"We have an exciting opportunity for qualified legal professionals to join one of the leading AI labs in Silicon Valley as Senior AI Tutors. This position pays $90/hour. In this role, you will leverage your expertise gained through your JD to test and enhance the capabilities of our cutting-edge AI models. Responsibilities:Create challenging and domain-specific questions that go beyond the scope of a simple Google search and require a JD-level understanding to answer effectivelyProvide well-crafted answers to these questions, demonstrating the depth of knowledge expected from a legal expertEnsure that the questions and answers are not easily addressable by undergraduates in the legal field and are incomprehensible to experts from non-legal disciplinesCollaborate with the AI development team to refine and improve the model's performance based on your insights and feedback Example of a question-and-answer pair:Question: In the context of the U.S. Supreme Court's decision in Citizens United v. FEC, how has the Court's interpretation of the First Amendment's protection of free speech impacted campaign finance regulations and the role of corporate money in political elections? Answer Choices:A) The decision had minimal impact on campaign finance regulations, as corporations were already able to contribute to political campaigns through PACs.B) The Court's ruling overturned all campaign finance regulations, allowing unlimited corporate contributions to political campaigns.C) The decision upheld existing campaign finance regulations, maintaining restrictions on corporate political spending.D) The ruling expanded First Amendment protections for corporate political speech, striking down certain campaign finance restrictions and enabling increased corporate spending in elections. Correct Answer: D) The ruling expanded First Amendment protections for corporate political speech, striking down certain campaign finance restrictions and enabling increased corporate spending in elections. The Court held that corporate funding of independent political broadcasts cannot be limited under the First Amendment, leading to the rise of super PACs and increased corporate influence in political campaigns. Requirements:Juris Doctor (JD) from an accredited law schoolExtensive knowledge and practical experience in various legal disciplinesStrong analytical and problem-solving skillsExcellent written communication abilitiesFamiliarity with AI and machine learning concepts is a plus This is a part-time, remote position offering a competitive hourly rate of $90 per hour. You will be expected to work between 10-20 hours per week, with the flexibility to allocate your time according to your schedule. As a contractor, you will log your hours and receive payments via Deel, directly deposited into your bank account. We are hiring multiple Senior AI Tutors to support our growing AI initiatives. If you are passionate about advancing AI in the legal field and want to contribute to the development of groundbreaking technologies, we encourage you to express your interest in this unique opportunity. We look forward to providing more details and discussing how your expertise can help shape the future of AI in the legal domain. EDU, TRNG",2024-04-09,https://www.linkedin.com/jobs/view/3886479947/?trk=jobs_biz_prem_srch
Medical AI Tutor (MD Required),Mercor,United States,machine learning,,"We have an exciting opportunity for qualified medical professionals to join one of the leading AI labs in Silicon Valley as Senior AI Tutors. This role pays $90/hour. In this role, you will leverage your expertise gained through your MD to test and enhance the capabilities of our cutting-edge AI models. Responsibilities:Create challenging and domain-specific questions that go beyond the scope of a simple Google search and require an MD-level understanding to answer effectivelyProvide well-crafted answers to these questions, demonstrating the depth of knowledge expected from a medical expertEnsure that the questions and answers are not easily addressable by undergraduates in the medical field and are incomprehensible to experts from non-medical disciplinesCollaborate with the AI development team to refine and improve the model's performance based on your insights and feedback Example of a question-and-answer pair:Question: Considering the complexities of pharmacokinetics in geriatric patients, how does age-related reduction in renal function affect the dosing and monitoring of a hydrophilic antibiotic like vancomycin in the treatment of MRSA infections? Answer Choices:A) Age-related changes have minimal impact on vancomycin dosing; the focus remains on body weight and severity of infection.B) Dosing should be increased and monitored with less frequency due to decreased renal clearance, to ensure therapeutic levels are maintained.C) Dosage adjustments are not necessary for elderly patients as vancomycin is primarily metabolized hepatically.D) Dosing should be carefully adjusted based on renal function and monitored more frequently to avoid toxicity while ensuring therapeutic efficacy. Correct Answer: D) Dosing should be carefully adjusted based on renal function and monitored more frequently to avoid toxicity while ensuring therapeutic efficacy. This strategy accounts for the decreased renal clearance in elderly patients, which can lead to elevated levels of the drug and potential toxicity if not properly monitored and adjusted. Requirements:Medical Degree (MD) from an accredited institutionExtensive knowledge and practical experience in various medical disciplinesStrong analytical and problem-solving skillsExcellent written communication abilitiesFamiliarity with AI and machine learning concepts is a plus This is a part-time, remote position offering a competitive hourly rate of $90 per hour. You will be expected to work between 10-20 hours per week, with the flexibility to allocate your time according to your schedule. As a contractor, you will log your hours and receive payments via Deel, directly deposited into your bank account. We are hiring multiple Senior AI Tutors to support our growing AI initiatives. If you are passionate about advancing AI in the medical field and want to contribute to the development of groundbreaking technologies, we encourage you to express your interest in this unique opportunity. We look forward to providing more details and discussing how your expertise can help shape the future of AI in healthcare. EDU, TRNG",2024-04-09,https://www.linkedin.com/jobs/view/3886485373/?trk=jobs_biz_prem_srch
Head of Operations,Mission MightyMe,United States,machine learning,Lead,"ROLE OF THE HEAD OF OPERATIONSWe’re looking for an experienced food production and supply chain managementteam member to join our mission to end the food allergy epidemic! Reporting to anddirectly working with the Co-Founder/Co-CEO, this role will be responsible forproduction forecasting and production oversight, ingredient and finished goodsinventory management and logistics, optimizing and bolstering our supply chain,overseeing stringent product safety and quality control protocols, and potentiallycreating new food products from development to commercialization. The idealcandidate has experience being part of a high-growth consumer food or beveragebrand. Past experience with a baby or children’s CPG company is a plus, but notrequired. COMPANY OVERVIEWMission MightyMe is a revolutionary food company on a mission to end the food allergyepidemic, which currently impacts 1 out of every 13 children in the US. Our founders arefood allergy parents and the global expert in food allergy prevention, Dr. Gideon Lack.Dr. Lack’s groundbreaking research discovered that most peanut allergies can beprevented by including peanut foods in infant diets early and consistently. Thisdiscovery changed pediatric feeding guidelines around the globe to recommend earlyallergen introduction in infancy, however, the baby food industry is still mostly allergen-free.Mission MightyMe is disrupting the $20+ billion baby food industry by making itdeliciously simple to include peanuts and tree nuts in infant diets, as pediatric guidelinesnow recommend. The company has experienced tremendous growth since launchingour Nutty Puffs in March of 2020 and we are now moving into our next phase ofstrategic growth! Mission MightyMe has received numerous awards for its innovative impact on children’shealth, including Fast Company naming the company one of their Top World ChangingIdeas, Independent Innovation’s Best Snack Food of the Year and a Trailblazer awardfrom Food Navigator. THE CANDIDATEYou are a problem-solver! You like to plan ahead and are happiest when things are inorder, but you can also work under pressure with deadlines when things don’t goaccording to plan! You are technically proficient and detail-oriented, but can also seethe bigger picture. You like to own your projects and want to deliver them proudly at thefinish line. You are confident in your skills, but open to suggestions, questions, andfeedback. You enjoy forging strong relationships with internal and external partners.You want to work as an integral part of a team that works diligently towards its goals! CORE RESPONSIBILITIES▪ Forecast and oversee all food productiono Forecast production needs based on sales forecasts and bookproduction runs with co-manso Oversee co-man production, food safety and strict quality controlmanagement, including sample collection and testing ▪ Manage all ingredient sourcingo Forecast ingredient needs for planned production scheduleso Order and oversee ingredient logisticso Strengthen supply chain by maintaining and creating a robust networkof primary and back-up suppliers▪ Manage finished goods logisticso Monitor inventory levels by channelo Proactively manage transport of finished goods where needed▪ Identify and create efficiencies in supply chain, production and transportationto simplify logistics and reduce costs over timeo Identify pricing efficiencies amongst potential supplierso Reduce overall transportation, fulfillment, and warehousing costso Potentially eliminate steps in production processes▪ Lead product development efforts to support and improve existing commercialproductso Manage all aspects of continuous product improvement related toquality, stability, and safetyo Independently work to improve flavor, color, and other sensoryimprovements of existing products ▪ Product Ideationo Analyze competitive landscape and emerging trends to identify on brandaccessory and packaging opportunitieso Leverage knowledge of market trends, company priorities, and salesresults to drive creation of new products o Continuously look for opportunities to drive efficiencies or improve ourcurrent offerings ▪ Guide all aspects of new product development from concept throughsuccessful commercializationo Oversee product formulation, establishing manufacturing relationships,coordinating pilot and plant trialso Build supply chains for new products, quality control testing, packagingprocurement, and overseeing production runso Identify risks and offer solutions to mitigate risko Manage development timelines and day-to-day activities to ensureproject milestones are met and projects are in scope and on timeo Coordinate all steps of product development with internal stakeholders QUALIFICATIONS/SKILLS▪ 5+ years of experience in food production and/or logistics▪ Experience in inventory and production forecasting▪ Understanding of ingredient sourcing and functionality in foods/beverage▪ Experience with ingredient and product documentation▪ Proven project management expertise▪ Systematic approach to problem-solving▪ Transparent, open communicator▪ Ability to connect with people and establish true partnerships TEAM CULTUREWe are a team of experienced and motivated professionals, who are dedicated tousing our time, energy, and resources to positively impact society and grow theimpact of our company. We believe motivated, and effective teams can create andbuild impactful work, far more effectively than individuals alone. We believe incultivating a diverse team that is inclusive, fosters diversity of thought, andencourages a creative, celebratory, grace-filled work environment. We strive forperfection and measure results, but celebrate what we learn, regardless of the result!We believe everyone’s voice is important and encourage team members to speak upand help improve all aspects of our company.We are a stakeholder-oriented company with tremendous respect and care for ourfellow team members, customers, investors, suppliers, outsourcing partners, andevery person or organization with whom we interact. PLEASE REACH OUT TO US!If you or someone you know may be interested in this position, or just interested in ourcompany and mission, please reach out to us by emailingjjjaxon@missionmightyme.com.We would love to hear from you! MGMT, MNFC",2024-04-09,https://www.linkedin.com/jobs/view/3886475894/?trk=jobs_biz_prem_srch
Correctional Programs Supervisor - Anson Correctional Institution,NC Department of Adult Correction,"Anson County, NC",machine learning,Senior,"Description Of Work This position has required Knowledge, Skills, and Abilities (KSAs). Please review them carefully. If you have the required KSAs for this position , enter a detailed description in the WORK EXPERIENCE section of your application. Remember to SAVE each job entry. Knowledge, Skills, and Abilities will no longer be accepted in the Supplemental Questions section of the application. This is an INTERNAL POSTING open ONLY for current employees of the NC Department of Adult Correction and eligible RIF candidates from NC State Government.**This is an anticipated vacancy. This position is expected to be available on 4/26/24.*** Responsibilities This position reports directly to the Correctional Programs Director I at a multi-custody correctional facility and works in the programs department. Responsibilities of this position, include but are not limited to, the following: Providing programs for the rehabilitation of offenders in the prison and coordinating programs activities with custody staff.Developing, implementing, and maintaining one or more major and broad programs for offenders. (Primary programs areas are offender classification; correctional programs (work release, incentive wage, study release, home leave, adult basic education, volunteer programs, religion, and recreation); and supportive counseling.) Contacting community agencies to enrich programs, establishing new programs, and conducting home leave and work release investigations. Monitoring effectiveness of community volunteer workers assigned to programs activities.Communicating effectively in verbal and written form with facility staff, offenders and the general public. Reviewing, analyzing and evaluating various documents and behavioral data gathered from interviews, written documentation and personal observation. Working under stressful conditions caused by direct contact with incarcerated offenders who can become physically violent and verbally abusive as well as crisis interventions and routine counseling to include suicide prevention. Training, observing, evaluating and supervising effectively subordinate staff in their duties and responsibilities. This is a full-time position (40 hours per week) with State Benefits with established working hours of Monday-Friday, 8am-5pm and may require working beyond normal work schedule to meet business need. Note To Current State Employees The salary grade for this position is NC08(Salary Range: $36,682 - $64,194). State employees are encouraged to apply for positions of interest even if the salary grade is the same as, or lower than, their current position. If selected for this position, a new salary will be recalculated taking into consideration the quantity of relevant education and experience, funding availability, and internal equity. Based upon these factors, a pay increase MAY result. About The NC Department Of Adult Correction (DAC) DAC is the largest state agency with more than 26,000 employees. It is responsible for safeguarding and preserving the lives and property of its citizens through prevention, protection, and preparation. We have a mission that matters! About Anson Correctional Institution Anson Correctional Institution houses female offenders in close and medium custody housing units and male offenders in a minimum custody unit. Anson CI offers a wide variety of educational, vocational, and training programs for men and women. Correction Enterprises operates the offender packaging operation at Anson, a partnership with Union Supply Direct through the Prison Industry Enhancement Program (PIE). Family and friends can order a package of goods from a pre-approved shopping list to send to an offender. Orders are packaged by offenders and shipped quarterly. Knowledge, Skills And Abilities / Competencies The Knowledge, Skills and Abilities listed below, along with the Minimum Education and Experience requirements, are REQUIRED to qualify for this position. We will not review resumes in lieu of Experience and Education listed on the application . Click these links for additional information: Introduction to the Job Application and Addressing Knowledge, Skills and Abilities . (Note: These links were created for applicants of Dept. of Adult Correction jobs and may not reflect the policies or procedures of other State agencies.) To Qualify For This Position, Applicants Must Document In The Work Experience Section Of The Application That They Possess ALL Of The Following Documented knowledge of internal and/or external services available to offenders.Documented 12 months (1 year) of correctional programs experience.Documented knowledge of case management practices, or supportive counseling techniques and/or interviewing techniques for intake assessments. Minimum Education And Experience Requirements Some state job postings say you can qualify by an “equivalent combination of education and experience.” If that language appears below, then you may qualify through EITHER years of education OR years of directly related experience, OR a combination of both. See https://oshr.nc.gov/experience-guide for details. Bachelor's degree in a Human Services or Criminal Justice field from an appropriately accredited institution and one year of experience in corrections or related work; or an equivalent combination of education and experience. Necessary Special Qualification: Must be eligible for certification by the North Carolina Criminal Justice Education & Training Standards Commission. Supplemental and Contact Information The North Carolina Department of Adult Correction (DAC) is an Equal Opportunity Employer who embraces an Employment First philosophy which consists of complying with all federal laws, state laws and Executive Orders. We are committed to reviewing requests for reasonable accommodation at any time during the hiring process or while on the job. DAC uses the Merit-Based Recruitment and Selection Plan to fill positions subject to the State Human Resources Act with the most qualified individuals. Hiring salary will be based on relevant qualifications, internal equity, and budgetary considerations pertinent to the advertised position. It is critical to our screening and salary determination process that applications contain comprehensive information. Information should be provided in the appropriate areas to include the beginning and ending dates of jobs worked, education with the date graduated, all work experience, and certificates / licenses. Resumes will not be accepted in lieu of completing this application . Answers to Supplemental Questions must refer to education or work experience listed on this application to receive credit. Degrees must be received from appropriately accredited institutions. Applicants seeking Veteran's Preference must attach a DD-214 Member-4 Form (Certificate of Release or Discharge from Active Duty) to their applications.Applicants seeking National Guard Preference must attach a NGB-23A (RPAS) if they are a current member of the NC National Guard in good standing. If a former member of the NC National Guard who served for at least 6 years and was discharged under honorable conditions, they must attach either a DD-256 or NGB-22.If applicants earned college credit hours but did not complete a degree program, they must attach an unofficial transcript to each application to receive credit for this education.If applying for a position certified through the NC Dept. of Justice - Criminal Justice Standards Division, click this link for specific certification requirements: Correctional & Probation/Parole Officer Certification .The NC Dept. of Adult Correction must adhere to the US Dept. of Justice Final Rule on the ""National Standards to Prevent, Detect, and Respond to Prison Rape"". Click this link for information on hiring and promotion prohibition requirements for all positions in the NC Dept. of Adult Correction: PREA Hiring and Promotion Prohibitions (Download PDF reader) .Per NC General Statute 143B-972.1 (Download PDF reader) , applicants hired into a position certified as a criminal justice officer or justice officer are required to electronically submit fingerprints to the NC State Bureau of Investigation for a state and national criminal history record check and enrollment in the FBI’s Next Generation Identification System: Criminal Justice Record of Arrest and Prosecution Background Service (“RAP Back”) . This is in addition to submitting fingerprints during the application process. Due to the volume of applications received, we are unable to provide information regarding the status of your application over the phone. To check the status of your application, please log in to your account and click ""Application Status."" If you are selected for an interview, you will be contacted by management. If you are no longer under consideration, you will receive an email notification. For technical issues with your application, please call the GovernmentJobs.com Applicant Support Help-Line at 855-524-5627. If there are any questions about this posting other than your application status, please contact Celeste Robinson by phone at 919-582-6116 or by email at celeste.r.robinson@dac.nc.gov . IT, PRJM",2024-04-09,https://www.linkedin.com/jobs/view/3886488014/?trk=jobs_biz_prem_srch
Java full Stack Engineer,NInfo Systems INC,"Phoenix, AZ",software engineering,,"Java full stack - Hybrid - 7+ Exp.Location: Phoenix AZ Development experience with web servicesExperience in spring boot and micro services Strong core Java and j2ee skills - backend coding and development Vertx(optional)and reactive programming experience Should have experience on message queues like Kafka ﻿ Email: gokul@ninfosystemsinc.com ENG, IT",2024-04-09,https://www.linkedin.com/jobs/view/3857386463/?trk=jobs_biz_prem_srch
Machine Learning Engineer,NLB Services,"Dallas, TX",machine learning,,"Job Title: Python AI/ MLType: FulltimeLocation: Dallas, TX Python/AI-ML:Hands on experience with Python, Streamlit, Fastapi (minimum 2+ max 6 years)Hands on experience in developing neural networks using Tensorflow or Pytorch frameworkHands on experience with NLP (NLTK, Spacy, BERT, SBERT models)Hands on experience with vector database (Milvus, FAISS, Pinecone, Vespa, Chroma etc.,)Good understanding on LLMs, Gen AI, Langchain, transformersExperience working and deploying in cloud environment will be added advantage (Google Cloud, AWS, Azure)Willing to learn and adapt to the advancements in the Gen AI technology and work on POCs ENG, IT",2024-04-09,https://www.linkedin.com/jobs/view/3871631334/?trk=jobs_biz_prem_srch
CYP Child and Youth Program Operations Clerk-Sub Base CDC,Navy Region Southwest Fleet and Family Readiness (FFR),"San Diego, CA",machine learning,,"Summary Navy Child and Youth Programs (CYP) offers early care and youth services in center-based (birth to five), facility-based (age 5-12), and recreational environments (teen; youth sports and fitness). CYP Operations Clerk are front line representatives and administrative liaisons. They manage the CYP waitlist, coordinate enrollment, oversee recordkeeping, and collect parent fees in addition to a variety of data processing systems. Learn more about us at https://www.navycyp.org. Learn more about this agency Help Duties The CYP Operations Clerk performs a combination of duties related to one or more components of the CYP. Duties are related to record keeping and reporting, liaison with families and programs, and collection and monitoring of fees and supplies. These tasks are summarized below. Record Keeping and Reporting Prepares and maintains assigned reports, correspondence, and statistical and financial data pertaining to components within the CYP (e.g., CDC, CDH, SAC, YP, R&R, USDA). Ensures child registration and enrollment paperwork is complete and current.Ensures that all USDA food program records are accurate, up-to-date and readily available. Reviews and submits completed paperwork for background checks. Maintains office files and records.Provides required information to requesting agencies that include but are not limited to Family Advocacy, Naval Investigative Services, Environment, Safety and Fire personnel, and USDA.Prepares necessary daily, weekly and monthly reports in compliance with reporting policies and procedures and ensures they are submitted in a timely manner. Conducts research of records and follows up in order to resolve discrepancies and problems. Notifies supervisor of any discrepancies and informs supervisor of any issues/ problems that cannot be resolved. Liaison with Families and Programs Provides front desk coverage, logs children in and out of the facility, and informs and answers questions regarding programs and services, patron financial obligations, waiting lists, events, and policies and procedures.Assists with dissemination of information to CDH providers regarding training schedules, certification process, application status, and USDA reporting requirements. Takes telephone calls and responds to inquiries, referring calls to supervisor or other personnel when appropriate. Performs assigned resource and referral duties and assists in maintaining current waiting list. Fees and Supplies Collects fees and charges and records payments in accordance with proper procedures. Notifies supervisor of all delinquent payments.Completes a daily activity report and ensures proper deposit of funds in accordance with established cash handling procedures. Responsible for monitoring all supplies and resources. Notifies supervisor of items that need to be ordered. Additional Responsibilities Serves as a mandatory reporter to Family Advocacy and Child Protective Services as prescribed by local policy in the case of suspected incidences of child abuse and neglect. Performs other duties as assigned. Help Requirements Conditions of Employment Must be 18 years of age or older and have a high school diploma or equivalent. Complete required training certificates, and maintain certifications or credentials required by Federal, State, and/or national accreditation institutions used as part of DoD's Child and Youth Programs. Undergo pre-employment and random drug testing. A positive drug test, or failure to submit for testing, is a basis for removal from this position. Pass a pre-employment physical, provide evidence of immunization, be free of all communicable diseases, and obtain appropriate immunization against communicable diseases. Employment contingent upon proof of education if not provided at time of application. Must successfully pass the E-Verify employment verification check. Any discrepancies must be resolved as a condition of employment. Must meet federal suitability requirements including successful completion of background investigation. Qualifications Resumes must include information which demonstrates experience and knowledge, skills, and ability (KSAs) as they relate to this position. Applicants are encouraged to be clear and specific when describing their experience level and KSAs. A qualified candidate possesses the following: Knowledge of administrative support functions. Knowledge of general office automation software, practices and procedures in order to accomplish various work assignments. Knowledge of military CDC, CDH, SAC, YP, R&R and the USDA Food Programs. Ability to maintain a computerized database. Working knowledge of computer keyboard and Child and Youth Management System (CYMS) or equivalent database system. Ability to maintain accurate reports and records and military style documents. Ability to communicate effectively in English, both verbally and in writing. Skill in cash handling required. Two (2) years of administrative experience. Education Must provide a copy of your H.S. Diploma, GED, or College Transcripts (showing degree awarded/conferred) when you apply. Note: If your degree has not been awarded and/or you possess certificates of completion for DoD approved competency-based training courses, and/or a valid CDA/MSA credential(s), you MUST also provide a copy of your HS Diploma or equivalent. Additional information Executive Order 12564 requires a Federal workplace free of illegal drugs. According to the Executive Order, all Federal employees are required to remain drug free throughout their employment. Commander, Navy Installations Command is a Drug-Free Federal Workplace. The use of illegal drugs will not be tolerated, and use of or intoxication by illegal drugs will result in penalties up to and including removal from Federal Service. All individuals involved in the provision of child care services on a Department of Navy (DON) installation or in a DON-sanctioned program must complete the Installation Records Check (IRC). The IRC includes a check of the Substance Abuse Rehabilitation Program (SARP) records in the Alcohol and Drug Management Information Tracking System (ADMITS) database, a check of the Family Advocacy Program (FAP) records in the Fleet and Family Support Management Information System (FFSMIS), and an installation security/base check via the Navy Justice Information System (NJIS) database and/or other law enforcement systems. This information will be used to determine suitability for the applicant in accordance with criteria for automatic and presumptive disqualifiers, per DoDI 1402.05. Per Department of Defense Instruction (DoDI) 1402.05 Background Checks on Individuals in DoD Child Care Services Programs, incumbents will be automatically disqualified for a conviction in either civilian or military court (to include any general, special, or summary court-martial conviction or if they received non-judicial punishment [under Article 15 or chapter 47 of Title 10, U.S.C]) for any of the following: a sexual offense, any criminal offense involving a child victim, or a felony drug offense. Additionally, the incumbent will be automatically disqualified if he/she has been held to be negligent in a civil adjudication or administrative proceeding concerning the death of or serious injury to a child or dependent person entrusted to the individual's care. Non-U.S. citizens with fewer than three years of recent residential history in the U.S. may be determined ineligible for employment. Some positions have special requirements. Selectee may be required to complete a one (1) year probationary period. Participation in Direct Deposit/Electronic Fund Transfer within the first 30 days of employment is required. We utilize E-Verify to confirm selectee's eligibility to work in the United States. Read more Help A career with the U.S. government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Opens in a new windowLearn more about federal benefits. Review our benefits Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent. Contact the hiring agency for more information on the specific benefits offered. NAVBASE Point Loma 750 Pacific Coast Highway San Diego, CA 92132-0058 US MGMT, MNFC",2024-04-09,https://www.linkedin.com/jobs/view/3886451468/?trk=jobs_biz_prem_srch
"Bonelli - Mesa, AZ - Supplier Specialist",Pella Corporation,"Mesa, AZ",machine learning,,"Summary Responsible for executing the supply chain and logistics functions of Bonelli Doors + Windows. Duties include, but are not limited to, communication interface between Bonelli, Suppliers, and internal personnel. This position requires excellent interpersonal, written, and verbal communication skills. Problem solving and organizational skills are a must. Complete understanding of Bonelli Supply Management and Logistics principles and policies are required. ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned. Verifies purchase requisitions by comparing items requested to master list; clarifying unclear items; recommending alternatives. Creates, submits, and provides status updates on order statuses from vendors and suppliers. Prepares purchase orders by verifying specifications and price; obtaining recommendations from suppliers for substitute items; obtaining approval from design engineering for any new specs or item change requests. Submits purchases orders up to $50,000 or per the PO Thresholds indicated without manager approval. Verifies receipt of items by comparing items received to items ordered; resolves shipments in error with suppliers. Able to work autonomously and make critical decisions regarding purchasing decisions and strategies with little or no manager guidance. Ensure continuous supply of required goods and materials and communicate any supply problems which may pose a risk or impact on business operations Develop ideas and strategies to improve operational efficiency, add value, aid business performance and work towards a strategy of continuous improvement Ability to work with various departments, foster teamwork and work independently with minimal supervision Must be able to identify and resolve problems, gather, and accurately analyze information in a timely manner Support Supply Chain Manager with negotiating long-term and short-term transactions with vendors Collaborate with the Supply Chain Manager to implement strategic purchasing plans company-wide Managing Process Improvement projects as directed from the Supply Chain Manager Review existing buying methods, provide analysis, feedback, and necessary revisions to order effectively to maintain high fulfillment rate, all while aligning inventory with necessary internal customers’ requirements Oversee the inventory control and inventory management efforts include tracking inventory levels, material consumption, tracking inventory changes, quality issues with product, cycle counts and end of the period inventory counting and confirming. Supervises the movement, distribution and storage of supplies and materials for manufacturing. Tendering trucks, planning delivery routes, maximizing delivery truck volume and holding logistics partners accountable for their delivery plans. Works with engineering team, finance team and manufacturing team to quote out, negotiate pricing and execute on the purchasing strategy for new parts and materials for products. Hands on experience with supply chain management software including creating and establishing new parts, pricing, and inventory valuation. Creator of inventory planning, strategy and executing on quarterly inventory counts. Actively participate with contract manufacturing, finance, sales/marketing, research and development and project managers towards new product development and launch. TRAVEL Overnight travel to suppliers is expected with this position. Travel is estimated as 10% of the time but fluctuates based on business needs. Supervisory Responsibilities This job has no supervisory responsibilities. Qualifications To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. EDUCATION And/or EXPERIENCE A Bachelor’s degree in a business or a related supply chain field or the equivalent of combination of education and experience. Prior experience in a manufacturing/construction-based environment Language Skills Ability to read and interpret documents such as standard work, change order notifications, etc. Ability to communicate effectively through written or oral communication with internal and external personnel. Mathematical Skills Ability to calculate figures and amounts such as discounts, interest, commissions, proportions, percentages, area, circumference, and volume. Ability to apply concepts of basic algebra and geometry. REASONING ABILITY Ability to apply common sense understanding to carry out instructions furnished in written, oral, or diagram form. Ability to deal with problems involving several concrete variables in standardized situations. Computer Skills Word, Excel, Power Point, Outlook and provided MRP system. CERTIFICATES, LICENSES, REGISTRATIONS None required. PHYSICAL DEMANDS The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee is regularly required to sit, talk, or listen. The employee is occasionally required to stand; walk; use hands to finger, handle, or feel; reach with hands and arms; climb or balance; and stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 50 pounds. Specific vision abilities required by this job include close vision, color vision, and ability to adjust focus. MGMT, MNFC",2024-04-09,https://www.linkedin.com/jobs/view/3886828988/?trk=jobs_biz_prem_srch
